# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
a gan zheng zhuan 	阿甘正傳	c=2 d=1.00014 t=13515
a yi 	阿姨	c=8 d=5.81079 t=13927
a yi zuo 	阿姨做	c=1 d=1 t=13786
ai 	唉	c=15 d=1.00834 t=11097
ai chi 	愛喫	c=1 d=1.00801 t=5814
ai da 	捱打	c=0 d=0.1 t=13147
ai guo zhe 	愛國者	c=1 d=1 t=16162
ai qi yi 	愛奇藝	c=2 d=1.00034 t=5908
ai ru chao shui 	愛如潮水	c=1 d=1 t=11272
ai te 	埃特	c=1 d=1 t=15754
ai yu mian zi 	礙於面子	c=1 d=1 t=1404
an 	按	c=2 d=1 t=16213
an dou dan 	安豆丹	c=1 d=1 t=14174
an hao 	暗號	c=1 d=1 t=8741
an li shuo 	按理說	c=4 d=1.00157 t=16228
an pai 	安排	c=0 d=0.1 t=1466
an quan 	安全	c=3 d=1.01207 t=13422
an quan gan 	安全感	c=0 d=0.1 t=1926
an quan qi jian 	安全起見	c=1 d=1 t=8147
an shi jian pai xu 	按時間排序	c=1 d=1 t=2602
an zhao 	按照	c=2 d=0.104254 t=13029
an zhuang 	安裝	c=5 d=1.07336 t=15988
an zhuang xi tong 	安裝系統	c=1 d=1.0802 t=15068
an zhuang xi tong de 	安裝系統的	c=1 d=1 t=15069
ao dian zhou 	熬點粥	c=1 d=1 t=3059
ao zhou 	熬粥	c=1 d=1 t=3060
ba 	八	c=0 d=0.1 t=4279
ba 	吧	c=159 d=1.56082 t=16256
ba 	把	c=28 d=1.87397 t=15668
ba bai 	八百	c=0 d=0.1 t=8951
ba bai nian qian 	八百年前	c=1 d=1 t=8952
ba du zi 	把肚子	c=1 d=1 t=3646
ba le 	罷了	c=1 d=1 t=11039
ba na 	把那	c=1 d=1 t=1305
ba na ge 	把那個	c=1 d=1 t=1131
ba ni 	把你	c=4 d=2.46455 t=14822
ba qian 	把錢	c=1 d=1 t=1509
ba san 	把傘	c=0 d=0.1 t=1494
ba wo 	把握	c=0 d=0.1 t=9044
ba wo yi xia 	把握一下	c=1 d=1 t=9045
ba xia lai 	拔下來	c=0 d=0.1 t=6990
ba xia lai de 	拔下來的	c=1 d=1 t=6991
ba yi 	八一	c=1 d=1 t=12497
ba yue 	八月	c=2 d=1 t=2841
ba zan men 	把咱們	c=1 d=1 t=10814
ba zhe ge 	把這個	c=1 d=1 t=10904
ba zi ji 	把自己	c=1 d=1 t=10832
bai 	白	c=0 d=0.1 t=15437
bai che 	白扯	c=0 d=0.1 t=13639
bai da 	白搭	c=0 d=0.1 t=15326
bai du 	百度	c=7 d=1 t=15354
bai du wang pan 	百度網盤	c=8 d=6.07484 t=10095
bai fen bai 	百分百	c=2 d=1.97045 t=11405
bai lei 	敗類	c=1 d=1 t=10481
bai nian hao he 	百年好合	c=1 d=1 t=9024
bai piao 	白嫖	c=1 d=1 t=1175
bai qun hui 	白羣暉	c=1 d=1 t=15438
bai yi bo 	白一搏	c=1 d=1 t=2515
bai zheng 	擺正	c=1 d=1 t=10835
ban 	半	c=0 d=0.1 t=11896
ban 	板	c=3 d=1.99049 t=16172
ban 	班	c=2 d=0.326541 t=4463
ban 	辦	c=0 d=0.1 t=9012
ban ben 	版本	c=8 d=1.008 t=16067
ban de 	版的	c=1 d=1 t=14119
ban fa 	辦法	c=0 d=0.191898 t=12387
ban gong 	辦公	c=1 d=1 t=7688
ban gong shi 	辦公室	c=3 d=1 t=10576
ban hun li 	辦婚禮	c=1 d=1 t=2093
ban li 	班裏	c=1 d=1 t=2074
ban li 	辦理	c=1 d=0.1 t=15258
ban men nong fu 	班門弄斧	c=0 d=0.1 t=10737
ban men nong fu a 	班門弄斧啊	c=2 d=1.98511 t=10741
ban nian yi hou 	半年以後	c=1 d=1 t=5902
ban tang 	半躺	c=1 d=1 t=7033
ban xian 	半仙	c=1 d=1 t=10129
bang bang mang 	幫幫忙	c=1 d=1 t=15744
bang ben 	邦本	c=1 d=1 t=16066
bang ding 	綁定	c=2 d=1.85319 t=15911
bang ding yi xia 	綁定一下	c=1 d=1 t=15863
bang ge 	綁個	c=1 d=1 t=49
bang mang 	幫忙	c=8 d=1.94095 t=16040
bang mang kan xia 	幫忙看下	c=1 d=1 t=6949
bang ni 	幫你	c=2 d=1 t=14720
bang ta 	幫他	c=0 d=0.1 t=14167
bang wo 	幫我	c=0 d=0.1 t=15861
bang wo jia shang 	幫我加上	c=1 d=1 t=2422
bao 	包	c=4 d=1 t=12527
bao 	報	c=2 d=1.00196 t=8716
bao 	寶	c=0 d=0.1 t=13483
bao 	薄	c=1 d=0.615271 t=6813
bao bao 	寶寶	c=2 d=1 t=5891
bao chi 	保持	c=0 d=0.1 t=10056
bao chi hao xin qing 	保持好心情	c=1 d=1 t=10057
bao cun 	保存	c=1 d=1 t=8724
bao de yi fu 	包的衣服	c=1 d=1 t=6679
bao feng 	暴風	c=1 d=0.350324 t=6585
bao feng er qi 	暴風二期	c=2 d=1.75578 t=6642
bao feng ying yin 	暴風影音	c=2 d=1 t=8905
bao ge xiu 	包個宿	c=1 d=1 t=2290
bao han 	包含	c=1 d=1 t=13009
bao hu hao 	保護好	c=1 d=1 t=5331
bao le 	包了	c=1 d=1 t=2159
bao ming 	報名	c=0 d=0.1 t=10008
bao mu 	保姆	c=1 d=1 t=13690
bao qian 	抱歉	c=2 d=1.0005 t=12766
bao qian bao qian 	抱歉抱歉	c=2 d=1.00028 t=12952
bao xiao 	報銷	c=1 d=1 t=14458
bao xiu 	包宿	c=1 d=1 t=2166
bao yan 	保研	c=1 d=1 t=893
bao zhang 	保障	c=1 d=1 t=425
bao zhe 	包着	c=1 d=1 t=5218
bao zhe 	抱着	c=1 d=1 t=2487
bao zheng 	保證	c=1 d=1 t=11092
bao zhong 	保種	c=0 d=0.1 t=3678
bao zhong shi jian zai 	保種時間在	c=1 d=1 t=3679
bao zhu 	包住	c=1 d=1 t=14423
bao zi 	包子	c=1 d=1 t=13489
be ye 	別業	c=0 d=0.1 t=2115
be ye zheng chang a 	別業正常啊	c=1 d=1 t=2116
bei 	唄	c=2 d=1 t=13890
bei 	被	c=5 d=1 t=16223
bei ban 	背板	c=12 d=1 t=16242
bei ban you wen ti 	背板有問題	c=1 d=1 t=6886
bei cha chu lai 	被查出來	c=1 d=1 t=11233
bei diao yong le 	被調用了	c=1 d=1 t=407
bei ding xia lai 	被頂下來	c=1 d=1 t=9626
bei fen 	備份	c=3 d=0.1 t=15670
bei fen xia 	備份下	c=1 d=1 t=15671
bei feng 	被封	c=1 d=1.0445 t=12296
bei feng hao 	被封號	c=2 d=1.89583 t=11242
bei feng le 	被封了	c=1 d=0.646074 t=12254
bei he xie 	被和諧	c=1 d=1 t=348
bei jing 	北京	c=4 d=2.16554 t=2078
bei jing 	背景	c=1 d=1 t=12426
bei jing de 	北京的	c=1 d=1 t=1866
bei ling dao 	被領導	c=1 d=1 t=3907
bei mian 	背面	c=0 d=0.1 t=9478
bei pian 	被騙	c=0 d=0.1 t=12015
bei pian de 	被騙的	c=1 d=1 t=12016
bei wang 	備忘	c=0 d=0.1 t=167
bei wang le 	備忘了	c=1 d=1 t=168
bei xian zhi le 	被限制了	c=1 d=1 t=12113
bei yong jin 	備用金	c=1 d=1 t=11740
bei zhu 	備註	c=2 d=1 t=14743
bei zhu yi xia 	備註一下	c=1 d=1 t=154
bei zi 	杯子	c=0 d=0.1 t=8745
bei zi ji 	被自己	c=1 d=1 t=12389
ben 	笨	c=0 d=0.1 t=6916
ben di 	本地	c=2 d=1.09753 t=15173
ben di cun chu 	本地存儲	c=1 d=1 t=15162
ben di gua zai 	本地掛在	c=1 d=1 t=15169
ben ji 	本機	c=1 d=1 t=15873
ben ji 	本籍	c=1 d=1 t=14998
ben jin 	本金	c=1 d=1 t=13026
ben lai 	本來	c=3 d=0.1 t=13249
ben lai de 	本來的	c=0 d=0.1 t=1534
ben lai de xiao hua 	本來的消化	c=1 d=1 t=1535
ben lai jiu hen shao 	本來就很少	c=1 d=1 t=13250
ben lai jiu mei chi 	本來就沒喫	c=1 d=1 t=3095
ben shen 	本身	c=6 d=1.0003 t=15005
ben shu 	本書	c=0 d=0.1 t=7599
ben xiao hai 	笨小孩	c=1 d=1 t=13067
ben yue 	本月	c=1 d=1 t=3507
beng da 	蹦躂	c=1 d=0.1 t=12683
beng da ne 	蹦躂呢	c=1 d=1 t=12684
beng le 	崩了	c=1 d=0.100002 t=7632
beng le a 	崩了啊	c=1 d=1 t=7633
bi 	比	c=3 d=1 t=10590
bi ji ben 	筆記本	c=1 d=1 t=15191
bi jiao 	比較	c=6 d=1.24736 t=14612
bi jiao di 	比較低	c=2 d=1.00628 t=15779
bi jiao duo 	比較多	c=0 d=0.1 t=1617
bi jiao fu za 	比較複雜	c=1 d=1 t=3007
bi jiao gui 	比較貴	c=1 d=1 t=9562
bi jiao hao 	比較好	c=1 d=1 t=1034
bi jiao he li 	比較合理	c=2 d=1.75578 t=13837
bi jiao ji 	比較急	c=2 d=1 t=14730
bi jiao ke bei 	比較可悲	c=1 d=1 t=12393
bi jiao kuai 	比較快	c=2 d=1 t=13066
bi jiao man 	比較慢	c=1 d=1 t=2992
bi jiao min gan 	比較敏感	c=2 d=1.00002 t=14306
bi jiao nan de 	比較難得	c=1 d=1 t=12536
bi jiao qiang 	比較強	c=1 d=1 t=722
bi jiao sheng shi 	比較省事	c=1 d=1 t=10759
bi jiao wan 	比較晚	c=1 d=1 t=10046
bi jiao wen ding de 	比較穩定的	c=1 d=1 t=10839
bi jiao xiang xi 	比較詳細	c=1 d=1 t=12842
bi jiao yan ge 	比較嚴格	c=2 d=1.99501 t=2943
bi jiao zhun 	比較準	c=1 d=1 t=5328
bi jing 	畢竟	c=3 d=1.00015 t=8302
bi jing ye bu ren shi 	畢竟也不認識	c=1 d=1 t=3264
bi liang 	鼻樑	c=0 d=0.1 t=10300
bi qi 	比起	c=1 d=1 t=10700
bi ran 	必然	c=1 d=1 t=15979
bi ru 	比如	c=7 d=1.00589 t=15576
bi sheng ke 	必勝客	c=3 d=2.86516 t=3400
bi xu 	必須	c=0 d=0.1 t=9753
bi xu ma shang 	必須馬上	c=1 d=1 t=1439
bi xu yao you 	必須要有	c=0 d=0.1 t=14071
bi yao 	必要	c=1 d=1.05143 t=13987
bi yao shi 	必要時	c=1 d=1 t=14574
bi ye hou 	畢業後	c=2 d=1.84366 t=2112
bi ye le 	畢業了	c=1 d=1 t=2038
bi zhi qian 	比之前	c=1 d=1 t=1917
bian 	編	c=0 d=0.1 t=908
bian 	邊	c=2 d=0.1 t=10069
bian cheng 	編程	c=1 d=0.1 t=13580
bian cheng 	變成	c=1 d=1 t=7286
